cycle,Heterozygosity
1,5.01279e-06
501,0.00248352
1001,0.00490265
1501,0.00726386
2001,0.00953424
2501,0.0118009
3001,0.0139037
3501,0.0158989
4001,0.0180292
4501,0.0199635
5001,0.0217756
5501,0.02358
6001,0.0254779
6501,0.0272814
7001,0.0289343
7501,0.0304741
8001,0.0320005
8501,0.0336595
9001,0.0353114
9501,0.0368012
10001,0.0380318
10501,0.0396631
11001,0.041185
11501,0.0425298
12001,0.0440128
12501,0.0451908
13001,0.0463513
13501,0.0476009
14001,0.0486829
14501,0.0499424
15001,0.0510626
15501,0.0522322
16001,0.0533033
16501,0.0543927
17001,0.0552573
17501,0.056097
18001,0.0572825
18501,0.058302
19001,0.0594796
19501,0.0600999
20001,0.0607699
20501,0.0614004
21001,0.0619677
21501,0.0626155
22001,0.063315
22501,0.0642041
23001,0.0649189
23501,0.0655006
24001,0.0661646
24501,0.0667602
25001,0.0675271
25501,0.0684276
26001,0.0689886
26501,0.0696649
27001,0.0703277
27501,0.0708946
28001,0.0714036
28501,0.0719308
29001,0.072253
29501,0.0725385
30001,0.0729532
30501,0.0735368
31001,0.074047
31501,0.0744429
32001,0.0747633
32501,0.0752013
33001,0.0756787
33501,0.076148
34001,0.0763121
34501,0.0768084
35001,0.0772581
35501,0.0775195
36001,0.0778738
36501,0.0784143
37001,0.0786984
37501,0.0791416
38001,0.079613
38501,0.0801434
39001,0.0804842
39501,0.0806022
40001,0.0811019
40501,0.0812749
41001,0.0814034
41501,0.0814083
42001,0.0816458
42501,0.0820715
43001,0.0822627
43501,0.082651
44001,0.0826613
44501,0.0827202
45001,0.0828421
45501,0.0830728
46001,0.0836103
46501,0.083711
47001,0.0836519
47501,0.0838456
48001,0.0838178
48501,0.0837542
49001,0.0836004
49501,0.0837135
50001,0.0840394
50501,0.0843876
51001,0.0846292
51501,0.0849651
52001,0.0850356
52501,0.0850531
53001,0.0849947
53501,0.085076
54001,0.0853786
54501,0.0857616
55001,0.0858897
55501,0.0859107
56001,0.0859146
56501,0.0859612
57001,0.0860387
57501,0.0861118
58001,0.0865374
58501,0.0866563
59001,0.0869358
59501,0.0870573
60001,0.0872145
60501,0.0875243
61001,0.0877091
61501,0.0877403
62001,0.0880164
62501,0.0881694
63001,0.0881511
63501,0.088353
64001,0.0882692
64501,0.0883519
65001,0.0885064
65501,0.0883252
66001,0.0883362
66501,0.0885397
67001,0.0885295
67501,0.0887141
68001,0.0888351
68501,0.0889425
69001,0.0889895
69501,0.0888985
70001,0.0887685
70501,0.0887799
71001,0.0887007
71501,0.088821
72001,0.0888834
72501,0.0889037
73001,0.0887782
73501,0.0888879
74001,0.0893981
74501,0.0894217
75001,0.0895212
75501,0.0895098
76001,0.0892892
76501,0.0895088
77001,0.0896077
77501,0.0893857
78001,0.0893514
78501,0.0895354
79001,0.0898474
79501,0.0899886
80001,0.0898315
80501,0.0897213
81001,0.0897003
81501,0.0897827
82001,0.0898364
82501,0.089836
83001,0.0900653
83501,0.0901526
84001,0.0901477
84501,0.0899945
85001,0.0900546
85501,0.0901481
86001,0.0901106
86501,0.0899769
87001,0.0897924
87501,0.0898785
88001,0.0899548
88501,0.0902289
89001,0.0900888
89501,0.0901091
90001,0.0903592
90501,0.0903818
91001,0.0902827
91501,0.0902883
92001,0.090636
92501,0.091002
93001,0.0907274
93501,0.0907473
94001,0.090514
94501,0.0906201
95001,0.0907276
95501,0.0910124
96001,0.0911063
96501,0.0910219
97001,0.0910899
97501,0.0908736
98001,0.0909715
98501,0.0907732
99001,0.0907175
99501,0.0907325
