N, mu, r, file
10000,0.000003,0.000025,21
10000,0.000003,0.000025,22
10000,0.000003,0.000025,23
10000,0.000003,0.000025,24
10000,0.000003,0.000025,25
10000,0.000003,0.000025,26
10000,0.000003,0.000025,27
10000,0.000003,0.000003,1
10000,0.000003,0.000003,2
10000,0.000003,0.000003,3
10000,0.000003,0.000003,4
10000,0.000003,0.000003,5
10000,0.000003,0.000003,6
10000,0.000003,0.000003,7
10000,0.000003,0.000003,8
10000,0.000003,0.000003,9
10000,0.000003,0.000003,10
10000,0.000003,0.000003,11
10000,0.000003,0.000003,12
10000,0.000003,0.000003,13
10000,0.000003,0.000003,14
10000,0.000003,0.000003,15
10000,0.000003,0.000003,16
10000,0.000003,0.000003,17
10000,0.000003,0.000003,18
10000,0.000003,0.000003,19
10000,0.000003,0.000003,20
10000,0.000003,0.000003,21
10000,0.000003,0.000003,22
10000,0.000003,0.000003,23
10000,0.000003,0.000003,24
10000,0.000003,0.000003,25
10000,0.000003,0.000003,26
10000,0.000003,0.000003,27
